Id,Sales
1,4772.29
2,7733.99
3,8896.79
4,7224.5
5,6677.45
6,5974.94
7,7935.89
8,8166.39
9,5708.3
10,6027.84
11,7207.81
12,7996.5
13,7178.35
14,8721.7
15,5792.42
16,4919.61
17,5760.85
18,9435.66
19,11135.4
20,9940.24
21,7614.06
22,5745.27
23,6263.92
24,4782.1
25,7850.67
26,10711.66
27,9039.31
28,5950.0
29,5626.79
30,5294.77
31,5424.1
32,10750.07
33,7673.98
34,5781.74
35,5348.7
36,7715.82
37,4119.2
38,7343.22
39,4888.35
40,6911.23
41,7454.77
42,5700.68
43,7687.41
44,6645.63
45,4883.0
46,6901.43
47,7924.97
48,11820.4
49,6318.66
50,8196.67
51,7145.36
52,9703.14
53,6666.14
54,9334.99
55,4930.59
56,5218.55
57,6718.04
58,6115.71
59,8840.57
60,7912.76
61,6189.66
62,7907.84
63,6519.2
64,10796.62
65,4503.8
66,13646.63
67,5277.84
68,5891.68
69,8076.43
70,5931.8
71,6558.5
72,6824.3
73,7649.53
74,5421.35
75,5393.07
76,7568.57
77,7957.56
78,7065.51
79,5120.2
80,7124.69
81,11084.01
82,6985.23
83,5167.99
84,7204.15
85,5992.11
86,6631.78
87,7341.77
88,4174.88
89,7867.65
90,6113.44
91,7034.46
92,7177.94
93,4309.72
94,6774.12
95,5461.46
96,7774.02
97,9220.0
98,5540.95
99,5509.84
100,7063.59
101,6131.7
102,5763.25
103,8032.28
104,6672.03
105,7869.96
106,5908.52
107,4886.84
108,7370.4
109,8073.83
110,8947.29
111,8279.56
112,8253.24
113,6033.19
114,8580.26
115,5802.66
116,8237.0
117,9117.36
118,7309.04
119,10107.56
120,7907.12
121,8043.28
122,6329.65
123,7182.72
124,8461.99
125,6860.13
126,4177.89
127,5751.45
128,8129.6
129,6674.38
130,5242.55
131,8719.37
132,6872.45
133,5556.02
134,6012.3
135,5499.19
136,7624.88
137,7514.26
138,6900.49
139,5567.88
140,4882.3
141,7023.75
142,4498.5
143,6475.62
144,5829.82
145,8664.28
146,7108.59
147,7359.64
148,9136.24
149,5542.98
150,5528.94
151,10817.24
152,6688.13
153,8138.01
154,7530.17
155,6246.17
156,6050.51
