Id,Sales
1,4626.78
2,7603.77
3,8988.04
4,7375.55
5,6909.18
6,6099.89
7,7840.16
8,8076.61
9,5651.11
10,5855.96
11,7201.17
12,7950.47
13,7561.96
14,8546.31
15,5828.15
16,4795.32
17,5889.09
18,9113.0
19,11517.64
20,10086.61
21,7745.61
22,5540.63
23,6208.7
24,4540.1
25,7771.73
26,11042.99
27,8958.43
28,5928.51
29,5516.39
30,5278.07
31,5489.43
32,10752.14
33,7508.75
34,5881.35
35,5411.12
36,7589.1
37,3959.42
38,7278.45
39,4681.37
40,6911.96
41,7522.47
42,5810.45
43,7512.79
44,7050.33
45,4924.41
46,6834.89
47,7691.03
48,11886.1
49,6393.67
50,8243.71
51,7034.07
52,9508.3
53,6747.75
54,9384.58
55,4795.88
56,5221.24
57,6863.16
58,6202.33
59,8802.46
60,7987.71
61,6135.03
62,7857.92
63,6717.06
64,10795.71
65,4275.92
66,13030.93
67,5220.04
68,5941.56
69,8302.92
70,5726.14
71,6684.03
72,7014.89
73,7600.99
74,5502.66
75,5342.19
76,7526.69
77,7868.01
78,7223.28
79,5094.87
80,7063.95
81,11198.96
82,6864.04
83,5093.1
84,6873.94
85,6067.33
86,6589.06
87,7315.6
88,4199.51
89,7942.26
90,5987.19
91,7000.66
92,7370.09
93,4217.79
94,6585.14
95,5465.73
96,7962.29
97,9333.4
98,5505.24
99,5786.89
100,7120.0
101,6137.23
102,5797.81
103,7817.36
104,6657.37
105,7649.42
106,5975.06
107,4911.09
108,7315.38
109,8172.51
110,8969.66
111,8033.9
112,8132.29
113,5756.86
114,8657.57
115,5836.5
116,8297.68
117,9288.49
118,6835.01
119,10291.02
120,7761.74
121,8021.22
122,6161.3
123,7120.45
124,8358.05
125,7098.65
126,4201.33
127,5660.86
128,8030.58
129,6392.56
130,5410.31
131,8823.95
132,6768.47
133,5689.52
134,5920.16
135,5661.45
136,7652.96
137,7471.09
138,6880.57
139,6021.32
140,4824.88
141,6998.91
142,3817.07
143,6504.12
144,5741.07
145,8671.42
146,7048.02
147,6900.39
148,9193.12
149,5672.18
150,5468.87
151,10983.31
152,6451.24
153,8252.72
154,7468.64
155,6143.23
156,6276.23
157,5549.93
158,8019.05
159,11594.6
160,6931.2
161,3438.7
162,4913.58
163,8423.33
164,8955.96
165,7065.71
166,7385.83
167,5272.9
168,5545.07
169,3510.14
170,5416.31
171,6665.92
172,7031.71
173,7526.22
174,7361.76
175,8222.13
176,9205.25
177,7483.94
178,5157.96
179,9088.04
180,10889.33
181,6575.11
182,8120.93
183,5769.15
184,6977.21
185,4935.15
186,7420.89
187,5676.81
188,9517.07
189,7230.85
190,8726.09
191,7964.41
192,6197.18
193,9066.05
194,18084.18
195,10697.68
196,5950.43
197,2985.36
198,6609.69
199,9960.2
200,6028.11
201,12270.16
202,17849.53
203,3811.35
204,5720.91
205,10069.1
206,5297.17
207,10255.11
208,6967.94
209,7241.29
210,5296.62
211,6661.04
212,6126.64
213,7657.88
214,8913.36
